ts,date,jcd,rno,combo,P,rank,payout,stake,status,ret,hit,actual
2026-08-19 23:56:35,20260819,16,5,4-1,0.213,2,0,1000.0,settled,0.0,0,4-5
2026-08-19 23:56:35,20260819,16,10,1-2,0.2823,1,0,1000.0,settled,0.0,0,1-3
2026-08-19 23:56:35,20260819,16,10,2-1,0.2246,2,0,1000.0,settled,0.0,0,1-3
2026-08-20 23:58:47,20260820,4,8,1-4,0.2435,2,0,1000.0,settled,0.0,0,4-1
2026-08-20 23:58:47,20260820,4,8,4-1,0.2612,1,660.0,1000.0,settled,6600.0,1,4-1
2026-08-20 23:58:47,20260820,5,1,1-2,0.211,2,0,1000.0,settled,0.0,0,2-3
2026-08-20 23:58:47,20260820,5,1,2-1,0.2989,1,0,1000.0,settled,0.0,0,2-3
2026-08-20 23:58:47,20260820,5,3,1-4,0.3957,1,290.0,1000.0,settled,2900.0,1,1-4
2026-08-20 23:58:47,20260820,5,3,4-1,0.1834,2,0,1000.0,settled,0.0,0,1-4
2026-08-20 23:58:47,20260820,5,8,1-4,0.4038,1,0,1000.0,settled,0.0,0,1-5
2026-08-20 23:58:47,20260820,5,8,4-1,0.2359,2,0,1000.0,settled,0.0,0,1-5
2026-08-20 23:58:47,20260820,16,9,1-3,0.342,1,0,1000.0,settled,0.0,0,3-2
2026-08-20 23:58:47,20260820,16,9,3-1,0.1836,2,0,1000.0,settled,0.0,0,3-2
2026-08-20 23:58:47,20260820,21,2,1-4,0.336,1,0,1000.0,settled,0.0,0,4-5
2026-08-20 23:58:47,20260820,21,2,4-1,0.1676,2,0,1000.0,settled,0.0,0,4-5
2026-08-20 23:58:47,20260820,21,4,1-3,0.2423,2,0,1000.0,settled,0.0,0,1-4
2026-08-20 23:58:47,20260820,21,4,1-4,0.2595,1,410.0,1000.0,settled,4100.0,1,1-4
2026-08-20 23:58:47,20260820,24,5,1-4,0.3068,1,0,1000.0,settled,0.0,0,4-5
2026-08-20 23:58:47,20260820,24,5,4-1,0.2835,2,0,1000.0,settled,0.0,0,4-5
2026-08-20 23:58:47,20260820,24,6,1-3,0.3873,1,0,1000.0,settled,0.0,0,3-1
2026-08-20 23:58:47,20260820,24,6,3-1,0.2535,2,350.0,1000.0,settled,3500.0,1,3-1
2026-08-20 23:58:47,20260820,24,8,1-2,0.3098,1,0,1000.0,settled,0.0,0,1-3
2026-08-20 23:58:47,20260820,24,8,2-1,0.1939,2,0,1000.0,settled,0.0,0,1-3
2026-08-21 23:57:30,20260821,2,7,1-3,0.2722,1,0,1000.0,settled,0.0,0,1-2
2026-08-21 23:57:30,20260821,2,7,1-4,0.2147,2,0,1000.0,settled,0.0,0,1-2
2026-08-21 23:57:30,20260821,3,9,1-4,0.4304,1,0,1000.0,settled,0.0,0,1-6
2026-08-21 23:57:30,20260821,3,9,4-1,0.22,2,0,1000.0,settled,0.0,0,1-6
2026-08-21 23:57:30,20260821,4,2,1-3,0.4497,1,0,1000.0,settled,0.0,0,3-1
2026-08-21 23:57:30,20260821,4,2,3-1,0.1761,2,650.0,1000.0,settled,6500.0,1,3-1
2026-08-21 23:57:30,20260821,4,8,1-4,0.3391,1,0,1000.0,settled,0.0,0,4-3
2026-08-21 23:57:30,20260821,4,8,4-1,0.2402,2,0,1000.0,settled,0.0,0,4-3
2026-08-21 23:57:30,20260821,6,5,1-3,0.2242,2,0,1000.0,settled,0.0,0,3-4
