ts,date,jcd,rno,combo,p,odds,kaijin,ev,stake,status,win_combo,hit,payout,ret
2026-08-21 13:06:25,20260820,5,4,1-5-2,1.56,111.0,173.07,1.732,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,4,1-5-3,0.93,157.2,146.93,1.462,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,4,1-5-6,3.45,89.1,307.7,3.074,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,4,1-6-3,4.93,21.4,105.4,1.055,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,4,1-6-5,4.66,64.3,299.37,2.996,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,5,1-2-3,8.03,47.6,382.43,3.822,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,5,1-2-4,3.6,44.2,159.11,1.591,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,5,1-2-5,9.57,27.9,267.0,2.67,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,5,1-3-2,14.3,51.6,737.84,7.379,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,5,1-3-4,5.27,26.5,139.52,1.397,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,5,1-3-5,12.74,20.5,261.18,2.612,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-2-3,2.83,73.0,206.83,2.066,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-2-5,2.85,77.6,220.87,2.212,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-2-6,1.77,146.7,260.01,2.597,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-3-2,3.78,69.3,262.03,2.62,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-3-4,1.07,189.2,202.78,2.024,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-4-3,0.47,393.6,186.65,1.85,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-5-2,3.24,79.2,256.84,2.566,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,6,1-6-2,0.92,232.5,213.25,2.139,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,7,1-3-2,6.05,20.2,122.13,1.222,100.0,settled,3-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,5,8,1-2-3,6.0,21.0,125.99,1.26,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,8,1-2-5,5.17,21.6,111.73,1.117,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,8,1-3-2,11.44,30.9,353.56,3.535,100.0,settled,1-5-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,9,1-3-4,4.64,23.6,109.5,1.095,100.0,settled,3-4-5,0,0,0.0
2026-08-21 13:06:25,20260820,5,9,1-4-3,1.95,66.7,130.34,1.301,100.0,settled,3-4-5,0,0,0.0
2026-08-21 13:06:25,20260820,5,10,1-2-6,4.37,36.9,161.16,1.613,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,5,10,1-4-2,3.72,31.6,117.7,1.176,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,5,10,1-4-6,2.14,54.9,117.74,1.175,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,5,10,1-6-2,1.05,129.4,135.88,1.359,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,5,10,1-6-4,0.66,176.5,116.01,1.165,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-2-6,5.95,23.7,141.02,1.41,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-4-5,4.04,40.0,161.56,1.616,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-4-6,2.54,53.0,134.66,1.346,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-5-2,4.05,51.4,207.92,2.082,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-5-3,1.53,87.5,134.22,1.339,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-5-4,2.4,75.7,181.61,1.817,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-5-6,1.67,113.7,189.91,1.899,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,11,1-6-5,0.71,253.5,179.81,1.8,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,5,12,1-4-3,6.03,25.7,154.96,1.55,100.0,settled,1-6-2,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-2-4,3.39,33.6,113.9,1.139,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-2-6,2.74,226.4,620.22,6.203,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-3-4,6.45,20.3,130.87,1.309,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-3-6,4.18,196.4,820.46,8.21,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-4-6,0.63,266.3,167.24,1.678,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-6-2,0.77,509.7,389.97,3.925,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-6-3,0.93,516.9,483.04,4.807,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,1,1-6-4,0.22,511.5,111.61,1.125,100.0,settled,1-5-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,2,1-2-3,14.1,23.7,334.29,3.342,100.0,settled,6-3-1,0,0,0.0
2026-08-21 13:06:25,20260820,9,2,1-2-5,1.58,82.0,129.63,1.296,100.0,settled,6-3-1,0,0,0.0
2026-08-21 13:06:25,20260820,9,2,1-3-2,4.31,35.9,154.71,1.547,100.0,settled,6-3-1,0,0,0.0
2026-08-21 13:06:25,20260820,9,2,1-3-6,4.51,25.2,113.66,1.137,100.0,settled,6-3-1,0,0,0.0
2026-08-21 13:06:25,20260820,9,2,1-6-2,9.54,24.0,228.92,2.29,100.0,settled,6-3-1,0,0,0.0
2026-08-21 13:06:25,20260820,9,2,1-6-3,4.38,42.5,186.15,1.861,100.0,settled,6-3-1,0,0,0.0
2026-08-21 13:06:25,20260820,9,3,1-4-6,2.0,57.7,115.62,1.154,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,3,1-6-4,0.53,192.9,102.16,1.022,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,4,1-2-6,0.46,232.0,107.76,1.067,100.0,settled,1-4-2,0,0,0.0
2026-08-21 13:06:25,20260820,9,4,1-4-6,0.36,349.8,127.19,1.259,100.0,settled,1-4-2,0,0,0.0
2026-08-21 13:06:25,20260820,9,5,1-4-3,6.99,21.4,149.52,1.496,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,5,1-4-5,3.0,47.0,141.22,1.41,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,5,1-4-6,6.47,24.1,155.92,1.559,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,5,1-5-3,0.91,111.7,101.79,1.016,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,5,1-5-4,1.06,108.7,115.61,1.152,100.0,settled,1-2-3,0,0,0.0
